"";"Country (ignore this)";"VAT (ignore this)";"SKU";"Active";"VISIBILITY";"ID store";"Supplier";"Manufacturer";"Tax rules ID";"NAME (VAT + "" "" + Country + "" "" + """""" + C2 +""%"""")";"BASE PRICE"
"";"Belgium";"21";"VAT-BE";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Belgium ""21%""";""
"";"Bulgaria";"20";"VAT-BU";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Bulgaria ""20%""";""
"";"Czechia";"21";"VAT-CZ";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Czechia ""21%""";""
"";"Denmark";"25";"VAT-DK";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Denmark ""25%""";""
"";"Germany";"19";"VAT-DE";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Germany ""19%""";""
"";"Estonia";"20";"VAT-EE";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Estonia ""20%""";""
"";"Greece";"23";"VAT-EL";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Greece ""23%""";""
"";"Spain";"21";"VAT-ES";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Spain ""21%""";""
"";"France";"20";"VAT-FR";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT France ""20%""";""
"";"Croatia";"25";"VAT-HR";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Croatia ""25%""";""
"";"Irland";"23";"VAT-IE";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Irland ""23%""";""
"";"Italy";"22";"VAT-IT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Italy ""22%""";""
"";"Cyprus";"19";"VAT-CY";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Cyprus ""19%""";""
"";"Latvia";"21";"VAT-LV";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Latvia ""21%""";""
"";"Lithuania";"21";"VAT-LT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Lithuania ""21%""";""
"";"Luxembourg";"17";"VAT-LU";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Luxembourg ""17%""";""
"";"Hungary";"27";"VAT-HU";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Hungary ""27%""";""
"";"Malta";"18";"VAT-MT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Malta ""18%""";""
"";"	Netherlands";"21";"VAT-NL";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT 	Netherlands ""21%""";""
"";"Austria";"20";"VAT-AT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Austria ""20%""";""
"";"Poland";"23";"VAT-PL";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Poland ""23%""";""
"";"Portugal";"23";"VAT-PT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Portugal ""23%""";""
"";"Romania";"19";"VAT-RO";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Romania ""19%""";""
"";"Slovenia";"22";"VAT-SI";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Slovenia ""22%""";""
"";"Slovakia";"20";"VAT-SK";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Slovakia ""20%""";""
"";"Finland";"24";"VAT-FI";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Finland ""24%""";""
"";"Sweden";"25";"VAT-SE";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"VAT Sweden ""25%""";""
"";"";"";"SHIPPING-ES/B-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"28"
"";"";"";"SHIPPING-ES/B-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"18"
"";"";"";"SHIP-PICK";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"0"
"";"";"";"SHIPPING-XXL";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"0"
"";"";"";"SHIPPING-INT";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"0"
"";"";"";"SHIPPING-SE-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-RO-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"44"
"";"";"";"SHIPPING-CZ-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"26"
"";"";"";"SHIPPING-GB-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"25"
"";"";"";"SHIPPING-PL-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"26"
"";"";"";"SHIPPING-LU-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-LT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"28"
"";"";"";"SHIPPING-LV-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-IE-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-HU-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"28"
"";"";"";"SHIPPING-NL-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-GR-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"45"
"";"";"";"SHIPPING-DE-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
"";"";"";"SHIPPING-FR-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-FI-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"45"
"";"";"";"SHIPPING-EE-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-ES-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-SI-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"30"
"";"";"";"SHIPPING-SK-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"30"
"";"";"";"SHIPPING-DK-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"30"
"";"";"";"SHIPPING-HR-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-BG-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"44"
"";"";"";"SHIPPING-BE-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-AT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-SE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
"";"";"";"SHIPPING-RO-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-CZ-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"17"
"";"";"";"SHIPPING-GB-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-PL-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"17"
"";"";"";"SHIPPING-LU-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-LT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-LV-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
"";"";"";"SHIPPING-IE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
