Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Acexxon Adhesive;70.794;78;35.397;T50-20-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Adhesive,T50-20-1,Acexxon;Acexxon Adhesive;Acexxon,Adhesive,T50-20-1,Acexxon;Acexxon-T50-20-1;3
1;Acexxon Adhesive;66.194;78;33.097;T50-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Adhesive,T50-10-1,Acexxon;Acexxon Adhesive;Acexxon,Adhesive,T50-10-1,Acexxon;Acexxon-T50-10-1;3
1;Acexxon Matte Black;87.4;78;43.7;R10-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R10-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R10-10-1,Acexxon;Acexxon-R10-10-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R10-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R10-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R10-10-2,Acexxon;Acexxon-R10-10-2;3
1;Acexxon Matte Black;87.4;78;43.7;R09-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R09-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R09-10-1,Acexxon;Acexxon-R09-10-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R09-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R09-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R09-10-2,Acexxon;Acexxon-R09-10-2;3
1;Acexxon Matte Black;87.4;78;43.7;R22-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R22-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R22-10-1,Acexxon;Acexxon-R22-10-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R22-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R22-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R22-10-2,Acexxon;Acexxon-R22-10-2;3
1;Acexxon Matte Black;87.4;78;43.7;R13-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R13-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R13-10-1,Acexxon;Acexxon-R13-10-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R13-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R13-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R13-10-2,Acexxon;Acexxon-R13-10-2;3
1;Acexxon Matte Black;110.354;78;55.177;R06-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R06-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R06-10-1,Acexxon;Acexxon-R06-10-1;3
1;Acexxon Gloss Black;137.954;78;68.977;R06-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R06-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R06-10-2,Acexxon;Acexxon-R06-10-2;3
