Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Akrapovic Slip-On Line (SS);958.58;78;718.935;M-FI/SS/1H;Speed Street Sl;Akrapovic;3831095087594;0;0;0;0;Akrapovic,Slip-On,Line,SS,M-FI/SS/1H,Akrapovic,3831095087594;Akrapovic Slip-On Line (SS);Akrapovic,Slip-On,Line,SS,M-FI/SS/1H,Akrapovic,3831095087594;Akrapovic-M-FISS1H;3
1;Akrapovic Tail pipe set (Carbon);730.6;78;547.95;TP-CS/1;Speed Street Sl;Akrapovic;3831095086641;0;0;0;0;Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic Tail pipe set (Carbon);Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic-TP-CS1;3
1;Akrapovic Tail pipe set (Titanium);716.95;78;537.7125;TP-T/S/2;Speed Street Sl;Akrapovic;3831095086658;0;0;0;0;Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic Tail pipe set (Titanium);Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic-TP-TS2;3
1;Akrapovic Akrapovič Sound Kit;744.55;78;558.4125;P-HF876;Speed Street Sl;Akrapovic;3831113529198;0;0;0;0;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic Akrapovič Sound Kit;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic-P-HF876;3
1;Akrapovic Tail pipe set (Titanium);716.95;78;537.7125;TP-T/S/2;Speed Street Sl;Akrapovic;3831095086658;0;0;0;0;Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic Tail pipe set (Titanium);Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic-TP-TS2;3
1;Akrapovic Tail pipe set (Carbon);730.6;78;547.95;TP-CS/1;Speed Street Sl;Akrapovic;3831095086641;0;0;0;0;Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic Tail pipe set (Carbon);Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic-TP-CS1;3
1;Akrapovic Slip-On Line (SS);958.58;78;718.935;M-FI/SS/1H/1;Speed Street Sl;Akrapovic;3831113563925;0;0;0;0;Akrapovic,Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic,3831113563925;Akrapovic Slip-On Line (SS);Akrapovic,Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic,3831113563925;Akrapovic-M-FISS1H1;3
1;Akrapovic Akrapovič Sound Kit;744.55;78;558.4125;P-HF876;Speed Street Sl;Akrapovic;3831113529198;0;0;0;0;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic Akrapovič Sound Kit;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic-P-HF876;3
1;Akrapovic Akrapovič Sound Kit;744.55;78;558.4125;P-HF876;Speed Street Sl;Akrapovic;3831113529198;0;0;0;0;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic Akrapovič Sound Kit;Akrapovic,Akrapovič,Sound,Kit,P-HF876,Akrapovic,3831113529198;Akrapovic-P-HF876;3
1;Akrapovic Slip-On Line (SS);958.58;78;718.935;M-FI/SS/1H/1;Speed Street Sl;Akrapovic;3831113563925;0;0;0;0;Akrapovic,Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic,3831113563925;Akrapovic Slip-On Line (SS);Akrapovic,Slip-On,Line,SS,M-FI/SS/1H/1,Akrapovic,3831113563925;Akrapovic-M-FISS1H1;3
1;Akrapovic Tail pipe set (Carbon);730.6;78;547.95;TP-CS/1;Speed Street Sl;Akrapovic;3831095086641;0;0;0;0;Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic Tail pipe set (Carbon);Akrapovic,Tail,pipe,set,Carbon,TP-CS/1,Akrapovic,3831095086641;Akrapovic-TP-CS1;3
1;Akrapovic Tail pipe set (Titanium);716.95;78;537.7125;TP-T/S/2;Speed Street Sl;Akrapovic;3831095086658;0;0;0;0;Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic Tail pipe set (Titanium);Akrapovic,Tail,pipe,set,Titanium,TP-T/S/2,Akrapovic,3831095086658;Akrapovic-TP-TS2;3
