Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Akrapovic Sound Kit;744.55;1;558.4125;P-HF876;Speed Street Sl;Akrapovic;3831113529198;0;0;0;0;Akrapovic,Sound,Kit,P-HF876,Akrapovic;Akrapovic Sound Kit;Akrapovic,Sound,Kit,P-HF876,Akrapovic;Akrapovic-P-HF876;3
1;Evolution Line (Titanium);5750;1;4312.5;S-AU/TI/24H;Speed Street Sl;Akrapovic;3831126418762;0;0;0;0;Evolution,Line,Titanium,S-AU/TI/24H,Akrapovic;Evolution Line (Titanium);Evolution,Line,Titanium,S-AU/TI/24H,Akrapovic;Akrapovic-S-AUTI24H;3
1;Akrapovic Sound Kit;987.97;1;740.9775;P-HF877;Speed Street Sl;Akrapovic;3831113529211;0;0;0;0;Akrapovic,Sound,Kit,P-HF877,Akrapovic;Akrapovic Sound Kit;Akrapovic,Sound,Kit,P-HF877,Akrapovic;Akrapovic-P-HF877;3
1;Slip-On Line (Titanium);4250;1;3187.5;S-BM/T/34H;Speed Street Sl;Akrapovic;3831126423872;0;0;0;0;Slip-On,Line,Titanium,S-BM/T/34H,Akrapovic;Slip-On Line (Titanium);Slip-On,Line,Titanium,S-BM/T/34H,Akrapovic;Akrapovic-S-BMT34H;3
1;Link Pipe Set (SS);1244.28;1;933.21;E-BM/SS/8;Speed Street Sl;Akrapovic;3831113599306;0;0;0;0;Link,Pipe,Set,SS,E-BM/SS/8,Akrapovic;Link Pipe Set (SS);Link,Pipe,Set,SS,E-BM/SS/8,Akrapovic;Akrapovic-E-BMSS8;3
1;Slip-On Line (Titanium);5848.49;1;4386.3675;S-BM/T/24H;Speed Street Sl;Akrapovic;3831113503716;0;0;0;0;Slip-On,Line,Titanium,S-BM/T/24H,Akrapovic;Slip-On Line (Titanium);Slip-On,Line,Titanium,S-BM/T/24H,Akrapovic;Akrapovic-S-BMT24H;3
1;Evolution Line (Titanium);5510;1;4132.5;S-CU/TI/1H;Speed Street Sl;Akrapovic;3831126416898;0;0;0;0;Evolution,Line,Titanium,S-CU/TI/1H,Akrapovic;Evolution Line (Titanium);Evolution,Line,Titanium,S-CU/TI/1H,Akrapovic;Akrapovic-S-CUTI1H;3
1;Evolution Line (Titanium);9694.91;1;7271.1825;S-ME/TI/1H/1;Speed Street Sl;Akrapovic;3831113577182;0;0;0;0;Evolution,Line,Titanium,S-ME/TI/1H/1,Akrapovic;Evolution Line (Titanium);Evolution,Line,Titanium,S-ME/TI/1H/1,Akrapovic;Akrapovic-S-METI1H1;3
1;Tail pipe set (Titanium) - Black;928.75;1;696.5625;TP-T/S/28;Speed Street Sl;Akrapovic;3831113587662;0;0;0;0;Tail,pipe,set,Titanium,-,Black,TP-T/S/28,Akrapovic;Tail pipe set (Titanium) - Black;Tail,pipe,set,Titanium,-,Black,TP-T/S/28,Akrapovic;Akrapovic-TP-TS28;3
1;Rear Carbon Fibre Diffuser - High Gloss;2202.8;1;1652.1;DI-PO/CA/7/G;Speed Street Sl;Akrapovic;3831113573863;0;0;0;0;Rear,Carbon,Fibre,Diffuser,-,High,Gloss,DI-PO/CA/7/G,Akrapovic;Rear Carbon Fibre Diffuser - High Gloss;Rear,Carbon,Fibre,Diffuser,-,High,Gloss,DI-PO/CA/7/G,Akrapovic;Akrapovic-DI-POCA7G;3
