Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Air filter;41.29;1;16.516;PP1952;Filtration Control LTD;Pipercross;5056195642599;0;0;0;0;Air,filter,PP1952,Pipercross;Air filter;Air,filter,PP1952,Pipercross;Pipercross-PP1952;3
1;Air filter;41.29;1;16.516;PP1836;Filtration Control LTD;Pipercross;5056195641349;0;0;0;0;Air,filter,PP1836,Pipercross;Air filter;Air,filter,PP1836,Pipercross;Pipercross-PP1836;3
1;Air filter;41.29;1;16.516;PX145;Filtration Control LTD;Pipercross;5056195631524;0;0;0;0;Air,filter,PX145,Pipercross;Air filter;Air,filter,PX145,Pipercross;Pipercross-PX145;3
1;Air filter;41.29;1;16.516;PP1351;Filtration Control LTD;Pipercross;5056195627169;0;0;0;0;Air,filter,PP1351,Pipercross;Air filter;Air,filter,PP1351,Pipercross;Pipercross-PP1351;3
1;Air filter;41.29;1;16.516;PP1196;Filtration Control LTD;Pipercross;5056195625097;0;0;0;0;Air,filter,PP1196,Pipercross;Air filter;Air,filter,PP1196,Pipercross;Pipercross-PP1196;3
1;Air filter;41.29;1;16.516;PP1214;Filtration Control LTD;Pipercross;5056195625370;0;0;0;0;Air,filter,PP1214,Pipercross;Air filter;Air,filter,PP1214,Pipercross;Pipercross-PP1214;3
1;Air filter;41.29;1;16.516;PP1363;Filtration Control LTD;Pipercross;5056195627275;0;0;0;0;Air,filter,PP1363,Pipercross;Air filter;Air,filter,PP1363,Pipercross;Pipercross-PP1363;3
1;Air filter;41.29;1;16.516;PP1265;Filtration Control LTD;Pipercross;5056195626223;0;0;0;0;Air,filter,PP1265,Pipercross;Air filter;Air,filter,PP1265,Pipercross;Pipercross-PP1265;3
1;Air filter;41.29;1;16.516;PP1482;Filtration Control LTD;Pipercross;5056195628920;0;0;0;0;Air,filter,PP1482,Pipercross;Air filter;Air,filter,PP1482,Pipercross;Pipercross-PP1482;3
1;Air filter;41.29;1;16.516;PP1839;Filtration Control LTD;Pipercross;5056195641387;0;0;0;0;Air,filter,PP1839,Pipercross;Air filter;Air,filter,PP1839,Pipercross;Pipercross-PP1839;3
1;Air filter;41.29;1;16.516;PX1403;Filtration Control LTD;Pipercross;5056195631272;0;0;0;0;Air,filter,PX1403,Pipercross;Air filter;Air,filter,PX1403,Pipercross;Pipercross-PX1403;3
1;Air filter;41.29;1;16.516;PP1378;Filtration Control LTD;Pipercross;5056195627589;0;0;0;0;Air,filter,PP1378,Pipercross;Air filter;Air,filter,PP1378,Pipercross;Pipercross-PP1378;3
1;Air filter;41.29;1;16.516;PX1635;Filtration Control LTD;Pipercross;5056195631906;0;0;0;0;Air,filter,PX1635,Pipercross;Air filter;Air,filter,PX1635,Pipercross;Pipercross-PX1635;3
1;Air filter;41.29;1;16.516;PX1778;Filtration Control LTD;Pipercross;5056195632569;0;0;0;0;Air,filter,PX1778,Pipercross;Air filter;Air,filter,PX1778,Pipercross;Pipercross-PX1778;3
1;Air filter;41.29;1;16.516;PP1218;Filtration Control LTD;Pipercross;5056195625479;0;0;0;0;Air,filter,PP1218,Pipercross;Air filter;Air,filter,PP1218,Pipercross;Pipercross-PP1218;3
1;Air filter;41.29;1;16.516;PP1279;Filtration Control LTD;Pipercross;5056195626452;0;0;0;0;Air,filter,PP1279,Pipercross;Air filter;Air,filter,PP1279,Pipercross;Pipercross-PP1279;3
1;Air filter;77.68;1;31.072;PP2050;Filtration Control LTD;Pipercross;5056195603156;0;0;0;0;Air,filter,PP2050,Pipercross;Air filter;Air,filter,PP2050,Pipercross;Pipercross-PP2050;3
1;Air filter;41.29;1;16.516;PX1868;Filtration Control LTD;Pipercross;5056195633016;0;0;0;0;Air,filter,PX1868,Pipercross;Air filter;Air,filter,PX1868,Pipercross;Pipercross-PX1868;3
1;Air filter;41.29;1;16.516;PP2081;Filtration Control LTD;Pipercross;5056195644388;0;0;0;0;Air,filter,PP2081,Pipercross;Air filter;Air,filter,PP2081,Pipercross;Pipercross-PP2081;3
1;Air filter;41.29;1;16.516;PP1803;Filtration Control LTD;Pipercross;5056195640878;0;0;0;0;Air,filter,PP1803,Pipercross;Air filter;Air,filter,PP1803,Pipercross;Pipercross-PP1803;3
1;Air filter;41.29;1;16.516;PP1831;Filtration Control LTD;Pipercross;5056195641295;0;0;0;0;Air,filter,PP1831,Pipercross;Air filter;Air,filter,PP1831,Pipercross;Pipercross-PP1831;3
