SHOP_CODIGO|SHOP_ALIAS|SHOP_NOMBRE|SHOP_DIRECCION|PUEB_CODIGO_POSTAL|PUEB_CODIGO_NOMBRE|PAIS_CODIGO|SHOP_MAPA_LATITUD|SHOP_MAPA_LONGITUD|SHOP_HORARIO_LU|SHOP_HORARIO_MA|SHOP_HORARIO_MI|SHOP_HORARIO_JU|SHOP_HORARIO_VI|SHOP_HORARIO_SA|SHOP_HORARIO_DO|DIAFESTIVO
502|0100-00|0100-00 AGENCIA  0100 VITORIA|AVDA. DEL CANTÁBRICO Nº11, PAB Nº1|01013|VITORIA|ES|42,86479|-2,657049|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
2478|0100-06|TREBOLE|JULIÁN APRAIZ 4, BAJO|01012|VITORIA|ES|42,853733|-2,674073|09:00-14:00/17:30-20:30|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-||09:30-13:00/-|
3103|0100-08|EUROKOPIA|FRANCIA, 21|01002|VITORIA|ES|42,848636|-2,668465|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|09:30-13:30/16:00-20:00|10:00-13:30/-||
3091|0100-09|EUROKOPIA CAMPUS|NIEVES CANO, 1, BAJOS|01006|VITORIA|ES|42,838501|-2,668893|09:00-14:00/-|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|09:00-13:30/16:00-20:00|||06/12/2024,25/12/2024
3088|0100-11|ESTANCO LUZURIAGA|PL MARTIN DE SALINAS, 1, BAJOS|01013|VITORIA|ES|42,855032|-2,670883|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|07:30-14:00/17:00-20:30|08:00-14:00/-||06/12/2024,25/12/2024
3203|0100-15|ESTANCO VITORIA -048|COMANDANTE IZARDUY, 26 BAJO|01006|VITORIA|ES|42,836997|-2,669064|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
3466|0100-17|ESTANCO 44|NICARAGUA, 4 BJ|01012|VITORIA|ES|42,856063|-2,677902|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:30-14:00/-||
3417|0100-19|ESTANCO LA PIPA|BASOA, 4|01012|VITORIA|ES|42,854822|-2,676908|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-|09:00-14:00/-|
5842|0100-30|MOBB REGALOS|RICARDO BUESA, 6, BAJO|01008|VITORIA|ES|42,848384|-2,679811|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:30-14:00/17:30-20:30||
7269|0100-33|TKB ALQUILER DE TRASTEROS|ARKATXA 1 PAB 138|01006|VITORIA|ES|42,834976|-2,656957|08:30/19:00|08:30/19:00|08:30/19:00|08:30/19:00|08:30/19:00|||06/12/2024,24/12/2024,25/12/2024,31/12/2024
1699|0102-00|0102-00 AGENCIA 0102 JUNDIZ|POL. IND. ALI.GOBEO,C/ DÜSSELDORF Nº 5, PAB 20|01010|VITORIA|ES|42,85322|-2,710490|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3256|0102-02|ESTANCO ESPEJO|BILBAO, 42|01423|ESPEJO|ES|42,808533|-3,046618|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-|11:00-22:00/-||
3905|0102-03|ESTANCO 2EME|PORTAL DE CASTILLA, 54|01007|VITORIA|ES|42,841236|-2,687323|08:30-20:30/-|08:30-20:30/-|08:30-20:30/-|08:30-20:30/-|08:30-20:30/-|09:30-14:30/17:00-20:00|10:00-14:00/-|
461|0110-00|0110-00 AGENCIA 0110 LAGUARDIA|P.I. CASABLANCA,  C/ PALOMARES, 29|01321|LASERNA|ES|42,48985|-2,482946|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|||
4073|0110-04|ESTANCO Nº LANCIEGO|CTRA. DE ASSA, 12, BAJOS|01308|LANCIEGO|ES|42,562765|-2,510712|10:00-13:45/17:30-19:30|10:00-13:45/17:30-19:30|10:00-13:45/17:30-19:30|10:00-13:45/17:30-19:30|10:00-13:45/17:30-19:30|10:00-13:45/-|10:00-11:30/-|
4188|0110-05|CAFETERÍA LICEO|AV. LA RIOJA, 29, BAJOS|26200|HARO|ES|42,574417|-2,852028|08:00-15:30/-|08:00-15:30/-|08:00-15:30/-|08:00-15:30/-|08:00-15:30/-|08:00-15:30/-|08:00-15:30/-|
4179|0110-06|ESTANCO Nº 3 NAJERA|PL. DE ESPAÑA, 4, BAJOS|26300|NAJERA|ES|42,416133|-2,734550|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|10:00-13:30/18:00-20:30||25/12/2024
4431|0110-09|ESTANCO Nº 1 CENICERO|VICTORIA, 8, BAJOS|26350|CENICERO|ES|42,481452|-2,643810|08:00-14:00/17:00-20:00|08:00-14:00/17:00-20:00|08:00-14:00/17:00-20:00|08:00-14:00/17:00-20:00|08:00-14:00/17:00-20:00|09:00-14:00/-|09:00-14:00/-|
4547|0110-13|ESTANCO NAVARRETE|SAN FRANCISCO, 5, BAJO|26370|NAVARRETE|ES|42,42804|-2,562297|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-|10:00-14:00/-|
4935|0110-17|ESTANCO Nº 3 HARO|VICENTE ALEIXANDRE, 1|26200|HARO|ES|42,570308|-2,847296|09:00-14:00/16:30-21:00|09:00-14:00/16:30-21:00|09:00-14:00/16:30-21:00|09:00-14:00/16:30-21:00|09:00-14:00/16:30-21:00|09:00-14:30/-||
7148|0110-18|CHUCHES COSTURILES|PLAZA SAN JERONIMO HERMOSILLA. 30 BAJO|26250|SANTO DOMINGO DE LA CALZA|ES|42,438734|-2,953639|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/-||
7735|0110-19|LIBRERIA SANCHO III|AV.LOGROÑO 1|26300|NAJERA|ES|42,41859|-2,722322|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/-|09:00-14:00/-|
458|0201-00|0201-00 AGENCIA 0201 ALBACETE|CONCEJAL ANTOLÍN TENDERO, 1|02005|ALBACETE|ES|39,005217|-1,867791|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
1876|0201-08|APP INFORMÁTICA HELLIN|SAN JUAN DE DIOS, 4|02400|HELLIN|ES|38,509201|-1,698380|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/-||
3724|0201-10|PAPELERÍA COMPLUTENSE|BAÑOS, 22, BAJOS|02005|ALBACETE|ES|38,996822|-1,860384|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|10:00-13:30/-||
3394|0201-12|ESTANCO Nº1 FEREZ|CERVANTES, 9|02436|FEREZ|ES|38,354288|-2,010539|09:30-14:00/17:00-20:30|09:30-14:00/17:00-20:30|09:30-14:00/17:00-20:30|09:30-14:00/17:00-20:30|09:30-14:00/17:00-20:30|09:30-14:00/-||
3464|0201-15|ESTANCO Nº 8 HELLIN|PADRE RODRÍGUEZ, 5|02400|HELLIN|ES|38,510452|-1,700415|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/17:00-20:30|09:30-13:30/-||06/12/2024,25/12/2024
4616|0201-16|ESTANCO BOGARRA|SAN JOSE, 1|02130|BOGARRA|ES|38,58137|-2,212456|09:30-13:30/17:00-20:00|09:30-13:30/17:00-20:00|09:30-13:30/17:00-20:00|09:30-13:30/17:00-20:00|09:30-13:30/17:00-20:00|09:30-13:30/-||
4256|0201-18|AUTO-RECAMBIOS CARLOS|AV. GUARDIA CIVIL, 51|02500|TOBARRA|ES|38,589255|-1,688505|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|00:00-00:00/-||06/12/2024,25/12/2024
4443|0201-19|ESTANCO Nº 38|ANGEL, 40|02002|ALBACETE|ES|38,986073|-1,852630|07:00-21:30/-|07:00-21:30/-|07:00-21:30/-|07:00-21:30/-|07:00-21:30/-|08:00-20:30/-|09:00-15:00/-|
4746|0201-20|ESTANCO PAPELERIA MAHORA|GLORIETA, 1|02240|MAHORA|ES|39,211357|-1,724536|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/17:30-20:30|10:00-13:30/-||
4542|0201-26|LOCUTORIO LA COLOMBIANA|MARIANO BENLLIURE, 6, BAJOS|02400|HELLIN|ES|38,509125|-1,693174|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|
7674|0201-31|E.S DEL REY GONZALEZ|AV. DE LEVANTE, 19|02520|CHINCHILLA DE MONTE ARAGO|ES|38,915858|-1,723523|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|
5772|0201-32|JUGUETES DIVERPEQUES|HERMANOS JIMENEZ, 18|02004|ALBACETE|ES|38,995142|-1,867421|10:00-14:00/17:30-20:30|10:00-14:00/17:30-20:30|10:00-14:00/17:30-20:30|10:00-14:00/17:30-20:30|10:00-14:00/17:30-20:30|10:00-14:00/-||
6005|0201-35|TELEFONIA MOVIL MIGUEL|GALLEGOS, 23|02100|TARAZONA DE LA MANCHA|ES|39,263747|-1,911657|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/-||
6031|0201-36|ESTANCO NERPIO |ALTA ,5|02530|NERPIO|ES|38,146874|-2,303122|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/-||
6176|0201-37|COPISTERIA DUPLO|AV. RAMON MENENDEZ PIDAL, 26|02005|ALBACETE|ES|39,001702|-1,862864|10:30-14:00/17:30-20:30|10:30-14:00/17:30-20:30|10:30/14:00|10:30-14:00/17:30-20:30|10:30-14:00/17:30-20:30|10:30-14:00/-||
6812|0201-41|HIPERoffice LA RODA|PASEO ESTACION 8|02630|RODA, LA|ES|39,203435|-2,159207|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-13:30/-||
6953|0201-42|LIBRERIA AVENIDA|AVDA. RAMON Y CAJAL 40|02630|RODA, LA|ES|39,204568|-2,158216|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/-||
7132|0201-43|MUNDO MOVIL|C/ DIONISIO GUARDIOLA 55|02003|ALBACETE|ES|38,993185|-1,860310|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00|10:30-14:00/17:30-21:00||
7247|0201-44|ALIMENTACION AMERICA|AV. JOSE PRAT 14|02008|ALBACETE|ES|38,978591|-1,840251|08:30-14:30/17:30-21:00|08:30-14:30/17:30-21:00|08:30-14:30/17:30-21:00|08:30-14:30/17:30-21:00|08:30-14:30/17:30-21:00|08:30-14:30/18:00-21:00|08:30-14:30/18:00-21:00|
7883|0201-46|AMACAN|SAN JOSE OBRERO 2|02200|CASAS IBAÑEZ|ES|39,287613|-1,474552|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|10:00-14:00/-||
7722|0201-47|ESTANCO HELLIN-004|GRAN VIA 34|02400|HELLIN|ES|38,508361|-1,694980|09:00-14:00/17:30-21:00|09:00-14:00/17:30-21:00|09:00-14:00/17:30-21:00|09:00-14:00/17:30-21:00|09:00-14:00/17:30-21:00|10:00-14:00/-|10:00-14:00/-|
7895|0201-48|ESTANCO ALBACETE 41|CARRETERA DE VALENCIA 20 BAJO|02008|ALBACETE|ES|38,98788|-1,846752|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-14:30/-|
7934|0201-49|ESTANCO ALBACETE 40|RAMON CASAS. 36|02008|ALBACETE|ES|38,986518|-1,846308|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|09:00-14:30/-|
224|0202-00|0202-00 AGENCIA 0202 ALMANSA|PÉREZ GALDOS, 11|02640|ALMANSA|ES|38,865402|-1,098026|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
2127|0202-02|ACAFEM|GARCÍA LORCA, 2|02660|CAUDETE|ES|38,705434|-0,984867|08:00-14:30/16:00-18:30|08:00-14:30/16:00-18:30|08:00-14:30/16:00-18:30|08:00-14:30/16:00-18:30|08:00-14:30/-|||
3460|0202-03|ESTANCO COFRENTES|PL. ESPAÑA, 3|46625|COFRENTES|ES|39,230446|-1,062719|10:00-13:00/17:30-20:00|10:00-13:00/17:30-20:00|10:00-13:00/17:30-20:00|10:00-13:00/17:30-20:00|10:00-13:00/17:30-20:00|10:00-13:00/-||
5162|0202-06|MOVIL AYORA|MIGUEL MOLSOS, 2, BAJOS|46620|AYORA|ES|39,059759|-1,059022|10:30-13:30/17:30-20:30|10:30-13:30/17:30-20:30|10:30-13:30/17:30-20:30|10:30-13:30/17:30-20:30|10:30-13:30/17:30-20:30|10:30-13:30/-||
5814|0202-09|APUESTA DORADA|PASEO DE LA LIBERTAD, 26 BAJO|02640|ALMANSA|ES|38,869085|-1,104355|10:00-14:00/17:30-20:45|10:00-14:00/17:30-20:45|10:00-14:00/17:30-20:45|10:00-14:00/17:30-20:45|10:00-14:00/17:30-20:45|10:00-14:00/-|10:00-14:00/-|
6858|0202-10|ALIMENTACION JAVIER|SAN ANTONIO. 10|02640|ALMANSA|ES|38,868683|-1,098297|10:00-23:00/-|10:00-23:00/-|10:00-23:00/-|10:00-23:00/-|10:00-23:00/-|10:00-23:00/-|10:00-23:00/-|
1987|0303-06|INFORMATICA SANTOMERA|LA GLORIA, 37|30140|SANTOMERA|ES|38,062377|-1,049661|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|10:00-13:00/-||06/12/2024,25/12/2024
2292|0303-10|BRIOGAS|PURÍSIMA, 80|03158|CATRAL|ES|38,167821|-0,803404|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|06:00-22:00/-|
2435|0303-12|JPD INFORMÁTICA|SAN ANDRÉS, 57, BAIXOS|03160|ALMORADI|ES|38,111488|-0,786882|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|||
2476|0303-13|INTERTECNIC|AV. CONSTITUCIÓN, 41|03360|CALLOSA DE SEGURA|ES|38,128268|-0,877920|10:00-13:30/16:00-20:30|10:00-13:30/16:00-20:30|10:00-13:30/16:00-20:30|10:00-13:30/16:00-20:30|10:00-13:30/16:00-20:30|||06/12/2024,25/12/2024
3208|0303-14|ESTANCO Nº 2|PL. CONSTITUCION, 6, BAJO|03340|ALBATERA|ES|38,179564|-0,871074|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/-||
3414|0303-15|ESTANCO SANTOMERA-003|LOS PASOS,  32|30140|SANTOMERA|ES|38,063621|-1,047501|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|08:00-20:00/-|08:00-14:00/-|
3353|0303-20|ESTANCO Nº 1 ABANILLA|CTRA. ORIHUELA, 5  AC|30640|ABANILLA|ES|38,205605|-1,041110|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|10:00-14:00/-||
4354|0303-21|ESTANCO BENIEL|CAMINO MOJON, ZENETA, 2|30130|BENIEL|ES|38,028487|-0,980012|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
4720|0303-33|SIETE´N MOTOR|AV. CONSTITUCIÓN,143|03158|CATRAL|ES|38,157348|-0,796942|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|||
5072|0303-35|LIBRERÍA PAPELERÍA JULIA|ANTONIO MACHADO, 27|30640|ABANILLA|ES|38,205147|-1,039938|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:30-13:30/-||
6925|0303-42|TODO 100 LASER 2 |ESPAÑA 15 ESQUINA |03160|ALMORADI|ES|38,110674|-0,790894|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|09:30-13:45/17:00-20:30|08:00-14:30/-||
7125|0303-44|JOAQUIN ESPINOSA MOBILIARIO|CALLE PIO BAROJA.3 |03380|BIGASTRO|ES|38,063733|-0,906601|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-17:00/17:00-20:00|||
7270|0303-46|JOAQUIN ESPINOSA MOBILIARIO|JUAN CARLOS I. 3|03369|RAFAL|ES|38,102337|-0,852697|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|||
7868|0303-49|DESCALZADOS ZAPATERIA|LOS LIRIOS 42 BAJO|03160|ALMORADI|ES|38,114284|-0,792246|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/-||06/12/2024,25/12/2024
226|0304-00|0304-00 AGÈNCIA 0304-00 ELCHE|MONOVAR, 62, PLANTA BAJA, NAVE B- 1- A|03206|ELCHE|ES|38,280943|-0,723403|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
2174|0304-12|EXPERT CANDELA|SALITRE, 10|03330|CREVILLENTE|ES|38,246572|-0,807196|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00||
2697|0304-16|JUGUETERIA BONBLAS|AV. DAMA D´ELX, 15|03195|ALTET, EL|ES|38,272501|-0,538776|09:00-14:00/17:30-20:00|09:00-14:00/17:30-20:00|09:00-14:00/17:30-20:00|09:00-14:00/17:30-20:00|09:00-14:00/17:30-20:00|09:00-14:00/-|09:00-14:00/-|
3204|0304-19|ESTANCO MARGARITA BAILE|ELCHE, 12|03130|SANTA POLA|ES|38,19318|-0,556094|07:00-14:00/17:00-21:30|07:00-14:00/17:00-21:30|07:00-14:00/17:00-21:30|07:00-14:00/17:00-21:30|07:00-14:00/17:00-21:30|07:00-14:00/17:00-21:30|07:00-14:00/-|06/12/2024,25/12/2024
3664|0304-21|ESTANCO LA HOYA|SAN ANTONIO DE PADUA, 27|03294|HOYA, LA|ES|38,212825|-0,683155|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/-||
3410|0304-22|ESTANCO DOMINGO SEMPERE|MAYOR, 82|03130|SANTA POLA|ES|38,196148|-0,558372|07:00-14:00/16:30-21:00|07:00-14:00/16:30-21:00|07:00-14:00/16:30-21:00|07:00-14:00/16:30-21:00|07:00-14:00/16:30-21:00|07:00-14:00/16:30-21:00|07:00-14:00/-|
3502|0304-23|ESTANCO Nº 32 ELCHE|LEPANTO, 3|03201|ELCHE|ES|38,265539|-0,700813|-/17:00-20:00|-/17:00-20:00|-/17:00-20:00|-/17:00-20:00|-/17:00-20:00|09:00-13:30/-||
4478|0304-26|ESTANC Nº ELCHE|CRISTÓBAL SANZ, 19, BAJOS|03201|ELCHE|ES|38,266507|-0,703907|08:30-14:00/17:00-21:00|08:30-14:00/17:00-21:00|08:30-14:00/17:00-21:00|08:30-14:00/17:00-21:00|08:30-14:00/17:00-21:00|08:30-14:00/18:00-20:00||
4509|0304-28|ESTANC Nº 6 ELCHE|REINA VICTORIA, 34|03201|ELCHE|ES|38,26541|-0,703570|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|09:00-14:00/-|09:00-14:00/-|
4539|0304-29|ESTANC Nº 1 ELCHE|PL. DE ALTABIX, 9, LOCAL 3|03202|ELCHE|ES|38,271456|-0,684896|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|09:00-14:00/-|09:00-14:00/-|
4769|0304-31|ESTANC Nº 12 ELCHE|DIAGONAL, 6|03206|ELCHE|ES|38,270989|-0,704512|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|08:00-21:00/-|09:00-14:00/-|09:00-14:00/-|
5616|0304-36|PAPERERIA MÓNICA|MAJOR DEL PLA, 27, BAIXOS|03204|ELCHE|ES|38,26286|-0,702480|10:30-14:00/16:30-19:30|10:30-14:00/16:30-19:30|10:30-14:00/16:30-19:30|10:30-14:00/16:30-19:30|10:30-14:00/16:30-19:30|10:30/14:00||
5956|0304-38|LOCUTORIO MOR|CLAVEL, 16 BJ|03320|TORRELLANO|ES|38,293725|-0,588372|10:00-14:30/17:45-21:00|10:00-14:30/17:45-21:00|10:00-14:30/17:45-21:00|10:00-14:30/17:45-21:00|10:00-14:30/17:45-21:00|10:30-14:30/-|10:30-14:30/-|
6745|0304-39|OHANA SMILE SHOP|JOSE DIEZ MORA. 4|03205|ELCHE|ES|38,26877|-0,710205|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/17:30-20:00|10:00-13:30/-||
6823|0304-40|FERRETERIA LA COOPERATIVA|AVENIDA DE LA ALEGRIA. Nº69|03194|MARINA, LA|ES|38,144106|-0,645912|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-|09:30-14:00/-||06/12/2024,25/12/2024
7210|0304-43|FLOR MEDICINAL|PASSEIG NIT DE LALBA 19|03206|ELCHE|ES|38,270371|-0,707014|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/-||
7133|0304-44|COEX INTERNATIONAL TRADE|AV. DE LA UNIVERSIDAD. S/N. EDIF.QUORUM III|03202|ELCHE|ES|38,278974|-0,689592|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|||
7309|0304-45|CIBER LKVA|PROFESOR FRANCISCO TOMAS Y VALIENTE. 61|03206|ELCHE|ES|38,27433|-0,710457|09:30-14:00/17:00-21:30|09:30-14:00/17:00-21:30|09:30-14:00/17:00-21:30|09:30-14:00/17:00-21:30|09:30-14:00/17:00-21:30|10:30-14:00/17:00-21:00|10:30-13:30/-|
7515|0304-46|GASOLINERA POLAGAS|MARINEROS. 1|03130|SANTA POLA|ES|38,208638|-0,578654|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|07:00-21:00/-|
7791|0304-47|LA DESPENSA DE MIGUEL|FCO.TOMAS Y VALIENTE 3|03206|ELCHE|ES|38,276253|-0,705089|09:00-23:00/-|09:00-23:00/-|09:00-23:00/-|09:00-23:00/-|09:00-23:00/-|09:00-23:00/-|09:00-23:00/-|
7945|0304-48|KIOSCO CALA DESI |LA CARATULA 6 BAJO |03202|ELCHE|ES|38,276212|-0,679463|07:00-13:30/17:00-20:30|07:00-13:30/17:00-20:30|07:00-13:30/17:00-20:30|07:00-13:30/17:00-20:30|07:00-13:30/17:00-20:30|08:00-13:30/-|08:00-13:30/-|
7942|0304-49|KIOSCO ANDALUCIA|EMILIO HERNANDEZ SELVA 80|03205|ELCHE|ES|38,270075|-0,716645|07:30-14:00/17:00-20:00|07:30-14:00/17:00-20:00|07:30-14:00/17:00-20:00|07:30-14:00/17:00-20:00|07:30-14:00/17:00-20:00|08:30-14:00/-|08:30-14:00/-|
7998|0304-50|FRIKIMON|REINA VICTORIA 129|03201|ELCHE|ES|38,265471|-0,710113|10:30-14:00/17:00-20:00|10:30-14:00/17:00-20:00|10:30-14:00/17:00-20:00|10:30-14:00/17:00-20:00|10:30-14:00/17:00-20:00|11:00-14:00/-||
7999|0304-51|KIOSCO ALTAMIRA|JORGE JUAN 39|03201|ELCHE|ES|43,113488|-9,027460|06:30-14:30/17:30-20:30|06:30-14:30/17:30-20:30|06:30-14:30/17:30-20:30|06:30-14:30/-|06:30-14:30/17:30-20:30|07:00-14:00/-|07:00-14:00/-|
227|0306-00|0306-00 AGENCIA 0306 ALICANTE|ROSA DE LOS VIENTOS 28|03007|ALICANTE|ES|38,338814|-0,526754|08:00-20:00/-|08:00-20:00/-|08:00-20:00/-|08:00-20:00/-|08:00-20:00/-|||
